JOB_ROLE,INDUSTRY,COUNTRY,YEAR,AUTOMATION_RISK_PERCENT,AI_REPLACEMENT_SCORE,SKILL_GAP_INDEX,SALARY_BEFORE_USD,SALARY_AFTER_USD,SALARY_CHANGE_PERCENT,SKILL_DEMAND_GROWTH_PERCENT,REMOTE_FEASIBILITY_SCORE,AI_ADOPTION_LEVEL,EDUCATION_REQUIREMENT_LEVEL
Accountant,Technology,Singapore,2020.0,17.17,17.83,0.65,139068.68,115427.28,-17.0,4.27,45.44,85.08,4.0
Accountant,Technology,Australia,2024.0,32.35,27.11,10.51,46376.58,42423.75,-8.52,7.48,61.31,58.83,2.0
Marketing Specialist,Technology,Brazil,2022.0,12.03,12.39,32.47,148135.44,150952.03,1.9,32.06,41.51,8.88,1.0
Software Engineer,Technology,Canada,2024.0,42.79,39.27,56.45,149057.93,142111.12,-4.66,12.45,95.77,98.15,5.0
Financial Analyst,Technology,Singapore,2022.0,70.79,58.22,11.76,37639.02,41606.31,10.54,-19.65,11.79,51.56,3.0
Accountant,Technology,USA,2026.0,37.56,41.67,83.0,112196.09,95449.75,-14.93,3.61,86.24,34.17,4.0
Software Engineer,Technology,Germany,2023.0,47.63,42.59,27.05,40956.2,43928.76,7.26,3.56,24.66,20.41,4.0
Teacher,Technology,UK,2025.0,49.05,46.09,64.39,80645.59,78326.12,-2.88,18.09,61.51,32.11,1.0
Software Engineer,Technology,Australia,2021.0,49.28,52.33,39.7,63123.85,66763.01,5.77,6.48,21.94,79.91,2.0
Customer Support Rep,Technology,Australia,2024.0,44.05,39.99,70.43,141409.29,149234.2,5.53,12.91,44.86,71.78,2.0
Data Analyst,Technology,India,2021.0,25.78,27.58,35.1,70960.79,89849.55,26.62,9.65,65.82,2.46,2.0
Accountant,Technology,Brazil,2024.0,44.17,41.09,3.03,123080.74,97401.91,-20.86,6.61,82.52,44.69,1.0
Financial Analyst,Technology,Canada,2022.0,74.94,83.42,59.54,138739.92,145955.04,5.2,29.63,42.06,88.29,3.0
Software Engineer,Technology,Brazil,2021.0,24.27,23.44,56.28,65281.11,62448.74,-4.34,1.49,41.73,4.83,3.0
Customer Support Rep,Technology,Brazil,2024.0,71.84,58.33,12.28,41391.27,40297.21,-2.64,0.57,57.88,11.47,5.0
Software Engineer,Technology,USA,2021.0,42.95,45.69,61.39,93741.57,89069.56,-4.98,-4.95,72.38,42.55,1.0
Teacher,Technology,USA,2020.0,42.85,42.86,29.1,76523.12,81321.69,6.27,5.95,64.01,14.74,2.0
Marketing Specialist,Technology,Singapore,2023.0,75.13,69.32,22.51,117610.62,115384.25,-1.89,21.69,95.22,20.27,3.0
Data Analyst,Technology,Australia,2021.0,64.7,69.01,43.18,32972.54,26107.81,-20.82,1.13,56.73,72.84,2.0
Software Engineer,Technology,Germany,2023.0,40.71,38.69,13.92,54325.15,51338.06,-5.5,9.57,38.12,28.49,2.0
Truck Driver,Technology,Germany,2021.0,41.41,33.56,45.69,69105.57,69136.6,0.04,18.1,82.64,26.69,1.0
Teacher,Technology,Brazil,2023.0,75.57,84.48,64.96,64140.46,57324.18,-10.63,15.15,13.39,50.84,5.0
Marketing Specialist,Technology,USA,2020.0,34.39,29.3,36.34,102991.5,87123.91,-15.41,13.31,38.01,46.57,1.0
Data Analyst,Technology,UK,2021.0,5.0,4.08,65.77,144203.8,141770.13,-1.69,20.18,15.03,4.5,1.0
Software Engineer,Technology,UK,2026.0,16.81,19.47,38.32,63934.46,68933.52,7.82,17.57,92.84,83.2,1.0
Financial Analyst,Technology,Japan,2025.0,64.67,55.21,30.58,103028.69,109753.35,6.53,3.82,96.27,50.26,1.0
Software Engineer,Technology,Brazil,2022.0,65.38,77.3,58.19,38602.91,33369.77,-13.56,4.62,53.49,18.85,5.0
Customer Support Rep,Technology,USA,2025.0,91.48,85.18,61.21,137006.51,117378.93,-14.33,18.52,99.18,18.74,3.0
Marketing Specialist,Technology,UK,2026.0,41.39,36.13,0.77,67426.49,67244.32,-0.27,-1.79,83.96,28.54,5.0
Data Analyst,Technology,India,2024.0,18.91,18.78,95.76,145657.56,136133.0,-6.54,19.39,87.86,87.55,4.0
Teacher,Technology,Singapore,2023.0,61.23,57.46,31.34,43926.55,48515.14,10.45,12.5,61.11,73.08,4.0
HR Manager,Technology,UK,2021.0,55.66,54.67,38.27,142959.84,143781.37,0.57,6.79,27.76,44.79,5.0
HR Manager,Technology,Germany,2022.0,19.52,21.66,98.53,95565.4,107433.74,12.42,12.87,30.18,33.6,2.0
Teacher,Technology,UK,2024.0,27.88,27.39,50.96,67065.5,67834.98,1.15,13.79,80.87,92.42,2.0
Financial Analyst,Technology,USA,2021.0,21.24,21.1,87.95,127733.42,129032.83,1.02,9.0,33.09,2.51,3.0
Customer Support Rep,Technology,Japan,2020.0,55.96,65.22,46.83,63280.25,55254.01,-12.68,12.53,31.49,5.77,2.0
Financial Analyst,Technology,USA,2022.0,76.11,78.83,52.29,38571.02,39111.32,1.4,3.59,99.16,41.52,4.0
Software Engineer,Technology,Japan,2021.0,32.3,27.62,64.74,35655.78,33124.53,-7.1,2.86,10.3,96.06,5.0
Truck Driver,Technology,Japan,2022.0,58.38,61.84,20.02,40638.1,44873.78,10.42,-2.07,33.16,13.08,3.0
Marketing Specialist,Technology,Germany,2025.0,57.55,57.12,94.27,111556.6,104763.53,-6.09,1.87,37.41,97.18,2.0
Teacher,Technology,USA,2024.0,18.28,14.91,68.5,76200.36,65871.68,-13.55,-0.95,76.56,22.72,5.0
Software Engineer,Technology,Singapore,2024.0,40.64,47.9,83.46,146972.7,141291.11,-3.87,20.65,95.2,42.66,5.0
Customer Support Rep,Technology,USA,2020.0,25.69,22.7,78.11,34551.29,36098.45,4.48,6.46,25.41,41.71,1.0
Marketing Specialist,Technology,USA,2024.0,43.46,40.27,51.69,72698.59,63555.8,-12.58,-3.41,58.64,44.41,5.0
Teacher,Technology,USA,2024.0,47.66,51.93,47.93,37436.17,35337.65,-5.61,4.08,39.5,88.7,1.0
Truck Driver,Technology,Singapore,2020.0,34.03,39.87,32.25,114820.66,114955.26,0.12,11.16,55.68,11.72,5.0
Customer Support Rep,Technology,USA,2020.0,64.22,62.68,94.72,136878.1,145104.66,6.01,7.27,60.83,82.69,5.0
HR Manager,Technology,India,2022.0,15.28,15.5,78.77,98908.22,99141.44,0.24,18.3,56.94,51.91,2.0
Data Analyst,Technology,Brazil,2021.0,29.25,23.99,92.43,40574.28,44727.37,10.24,7.2,47.88,80.01,3.0
Accountant,Technology,Brazil,2022.0,33.86,27.48,50.24,137606.85,135854.37,-1.27,15.18,27.18,75.24,5.0
Mechanical Engineer,Technology,Canada,2025.0,72.22,72.09,89.52,37563.46,36960.52,-1.61,12.91,23.98,68.34,4.0
Data Analyst,Technology,USA,2023.0,55.78,45.68,98.72,113643.23,103652.52,-8.79,0.5,45.33,22.06,5.0
Teacher,Technology,USA,2020.0,78.89,93.7,91.38,82237.63,84709.69,3.01,-6.86,11.55,19.62,2.0
Data Analyst,Technology,India,2025.0,31.17,28.33,12.27,110643.29,106632.05,-3.63,8.92,89.09,52.63,2.0
Teacher,Technology,India,2024.0,74.87,61.02,47.0,53131.15,59304.12,11.62,6.21,92.02,39.82,1.0
Mechanical Engineer,Technology,USA,2023.0,21.62,17.77,10.63,138154.95,132806.27,-3.87,2.99,66.12,7.53,1.0
Data Analyst,Technology,UK,2020.0,37.8,35.34,97.79,63412.77,57002.51,-10.11,1.9,10.2,26.03,2.0
Teacher,Technology,USA,2021.0,56.74,54.55,66.73,130408.12,113025.03,-13.33,-4.78,40.93,55.13,2.0
Financial Analyst,Technology,India,2020.0,75.22,85.66,85.22,99317.02,102773.43,3.48,9.58,95.79,6.44,3.0
Software Engineer,Technology,Germany,2022.0,5.0,4.35,92.91,102667.81,107463.28,4.67,-22.15,84.66,92.91,4.0
Marketing Specialist,Technology,Brazil,2022.0,77.83,88.97,49.66,90003.04,83311.05,-7.44,8.35,99.99,51.88,1.0
Teacher,Technology,Brazil,2025.0,10.81,10.23,76.09,48539.34,49545.38,2.07,-1.7,10.9,80.18,5.0
Software Engineer,Technology,UK,2025.0,40.87,40.99,26.26,108618.96,113601.7,4.59,4.46,97.14,90.52,3.0
Truck Driver,Technology,Germany,2020.0,43.82,40.75,96.08,91466.72,73669.02,-19.46,0.01,12.95,11.63,4.0
Teacher,Technology,UK,2024.0,44.25,38.1,57.0,61588.46,75345.61,22.34,-1.4,88.23,0.31,2.0
Mechanical Engineer,Technology,Brazil,2026.0,20.08,23.55,28.47,108778.83,126420.86,16.22,17.67,89.11,29.59,5.0
Marketing Specialist,Technology,Germany,2026.0,37.07,38.91,65.01,100196.22,100491.45,0.29,-9.53,89.59,86.86,5.0
Accountant,Technology,UK,2021.0,21.51,23.44,18.46,147034.77,129757.91,-11.75,-12.84,46.41,81.65,2.0
Marketing Specialist,Technology,India,2022.0,26.32,23.59,39.73,43375.95,43386.81,0.03,-8.26,95.85,57.77,2.0
Mechanical Engineer,Technology,USA,2022.0,64.83,57.39,73.28,124242.39,133573.36,7.51,9.65,47.2,54.48,5.0
Marketing Specialist,Technology,Canada,2022.0,71.55,74.31,47.04,139580.59,127754.46,-8.47,8.83,56.76,63.66,5.0
Marketing Specialist,Technology,Germany,2021.0,72.9,66.48,79.42,125977.55,143272.76,13.73,8.86,59.9,81.33,2.0
Mechanical Engineer,Technology,India,2024.0,45.02,47.65,17.27,74150.69,71421.94,-3.68,-6.04,60.65,44.25,2.0
Financial Analyst,Technology,Australia,2024.0,67.63,79.27,0.56,39503.82,35053.34,-11.27,12.47,92.05,66.74,5.0
Accountant,Technology,Singapore,2020.0,77.31,64.91,87.96,57009.95,47556.57,-16.58,-6.02,70.76,59.79,4.0
Customer Support Rep,Technology,USA,2024.0,32.64,36.33,43.96,30266.62,31768.33,4.96,-20.97,16.2,15.11,5.0
HR Manager,Technology,Germany,2021.0,32.08,27.27,48.9,138878.01,125954.29,-9.31,14.4,87.91,81.37,1.0
Mechanical Engineer,Technology,Australia,2020.0,73.5,75.04,69.29,119753.63,109004.25,-8.98,5.59,45.74,60.16,3.0
Marketing Specialist,Technology,UK,2022.0,12.19,12.02,98.81,147264.7,162492.03,10.34,7.44,39.19,93.43,4.0
HR Manager,Technology,USA,2025.0,55.94,61.75,41.47,143087.8,149103.94,4.2,-16.03,94.03,8.32,2.0
Teacher,Technology,USA,2023.0,55.48,49.68,58.78,125066.11,102594.44,-17.97,21.36,68.16,14.36,1.0
Teacher,Technology,Japan,2023.0,23.7,21.55,29.31,118768.61,123247.08,3.77,0.11,57.11,38.46,2.0
Mechanical Engineer,Technology,USA,2024.0,67.06,59.05,99.51,87092.45,95430.96,9.57,16.75,60.95,99.58,3.0
Accountant,Technology,Canada,2023.0,20.01,23.38,96.81,117895.56,99541.98,-15.57,-5.68,60.85,18.34,1.0
Teacher,Technology,Canada,2025.0,29.11,29.87,55.84,31943.3,35616.58,11.5,11.14,65.44,86.99,4.0
Data Analyst,Technology,USA,2024.0,14.38,15.83,75.04,92762.72,98469.29,6.15,-10.98,94.02,5.16,3.0
Marketing Specialist,Technology,USA,2021.0,20.91,24.09,56.91,119873.33,132860.04,10.83,8.87,88.65,68.84,4.0
Marketing Specialist,Technology,Singapore,2023.0,65.15,66.69,82.16,52169.3,59064.21,13.22,-21.91,87.19,71.62,2.0
Mechanical Engineer,Technology,Canada,2024.0,61.77,50.89,27.77,41451.78,50389.14,21.56,9.57,90.18,73.39,2.0
Truck Driver,Technology,Singapore,2023.0,62.42,51.25,71.16,55234.76,51668.57,-6.46,15.05,53.01,89.19,2.0
Accountant,Technology,India,2023.0,66.43,73.92,16.04,35777.09,30545.29,-14.62,22.32,91.82,34.96,2.0
Marketing Specialist,Technology,Japan,2021.0,38.74,39.14,79.64,62195.89,62583.07,0.62,11.89,85.69,52.56,5.0
Truck Driver,Technology,India,2023.0,88.32,74.75,78.66,97030.1,92252.83,-4.92,1.4,37.09,85.63,1.0
Financial Analyst,Technology,Brazil,2025.0,15.41,16.98,7.9,130549.74,118594.06,-9.16,22.85,87.98,18.61,1.0
Software Engineer,Technology,Brazil,2021.0,12.99,14.67,78.3,146682.7,149428.74,1.87,-3.34,54.25,67.09,1.0
Teacher,Technology,USA,2020.0,61.63,63.27,66.78,93927.27,98203.8,4.55,-2.67,54.34,63.43,1.0
Customer Support Rep,Technology,Canada,2025.0,90.17,89.18,45.3,93689.12,103850.81,10.85,20.47,93.38,99.36,5.0
Accountant,Technology,Australia,2023.0,68.61,59.01,30.61,61334.07,55519.22,-9.48,-8.87,31.99,94.26,5.0
Accountant,Technology,India,2023.0,39.41,33.32,46.77,52131.83,48464.53,-7.03,-4.29,21.23,72.11,3.0
Customer Support Rep,Technology,Japan,2024.0,80.44,77.03,68.9,76674.51,74007.84,-3.48,-6.36,60.13,4.1,4.0
Accountant,Technology,UK,2025.0,77.62,76.79,10.09,36604.73,32116.24,-12.26,-3.2,85.93,73.76,3.0
Truck Driver,Technology,USA,2022.0,25.63,23.8,76.87,90129.79,96217.16,6.75,14.81,86.94,0.74,1.0
Data Analyst,Technology,Germany,2024.0,7.71,6.56,17.91,125107.76,132412.12,5.84,14.81,74.84,4.76,4.0
Truck Driver,Technology,UK,2023.0,40.43,33.89,84.8,107924.09,110094.29,2.01,-6.92,88.51,6.95,3.0
Financial Analyst,Technology,Singapore,2023.0,58.49,58.32,30.85,47498.3,53249.01,12.11,-9.26,76.64,16.03,1.0
Teacher,Technology,Canada,2023.0,75.51,70.93,35.57,118596.3,88838.29,-25.09,15.79,83.24,89.1,2.0
Accountant,Technology,Australia,2021.0,51.34,44.87,46.63,90524.48,75906.25,-16.15,0.39,52.51,44.65,5.0
Truck Driver,Technology,Japan,2023.0,39.66,46.07,88.53,121153.97,100777.94,-16.82,-7.85,74.48,60.81,3.0
Teacher,Technology,Australia,2021.0,71.8,68.54,42.46,110192.87,88209.24,-19.95,-0.31,66.49,55.57,1.0
HR Manager,Technology,UK,2022.0,25.15,29.01,46.07,45246.39,46165.46,2.03,-9.63,40.46,85.12,4.0
Marketing Specialist,Technology,India,2021.0,23.6,20.02,52.08,109831.53,113656.68,3.48,-6.45,87.85,72.76,1.0
Customer Support Rep,Technology,UK,2022.0,71.49,79.77,10.41,54459.77,54067.22,-0.72,6.07,69.59,69.16,2.0
Teacher,Technology,USA,2024.0,58.58,51.88,58.85,67740.84,70787.95,4.5,12.42,84.36,19.97,5.0
Teacher,Technology,UK,2026.0,12.42,14.16,38.68,51566.69,51754.08,0.36,-3.99,23.51,56.67,4.0
Teacher,Technology,Germany,2026.0,33.15,33.9,29.34,39607.41,45368.12,14.54,-0.81,51.28,40.53,4.0
Teacher,Technology,Japan,2020.0,67.83,59.8,67.72,52788.9,50246.23,-4.82,-0.95,21.73,47.03,3.0
Customer Support Rep,Technology,India,2023.0,29.05,31.9,50.18,74358.4,63856.3,-14.12,8.5,83.6,87.99,2.0
Truck Driver,Technology,Australia,2021.0,80.1,84.16,90.89,61904.25,56878.3,-8.12,3.47,51.06,50.64,2.0
HR Manager,Technology,Singapore,2022.0,74.14,73.13,96.42,94626.7,99126.83,4.76,1.81,25.58,67.48,3.0
Marketing Specialist,Technology,Australia,2025.0,42.33,38.14,81.74,41039.47,42297.32,3.06,23.5,31.77,49.28,4.0
Financial Analyst,Technology,Australia,2025.0,74.04,63.47,7.37,142156.46,137492.45,-3.28,-0.03,93.65,80.29,4.0
Accountant,Technology,India,2022.0,15.0,15.82,14.93,146574.85,146140.42,-0.3,-4.76,24.87,60.04,1.0
Mechanical Engineer,Technology,Germany,2023.0,15.01,17.67,18.3,53258.92,60290.0,13.2,13.66,76.32,37.51,1.0
HR Manager,Technology,Singapore,2023.0,26.04,29.02,80.5,87953.02,75563.28,-14.09,-1.15,77.88,63.95,3.0
Accountant,Technology,USA,2021.0,28.9,30.64,49.59,62000.81,74736.12,20.54,17.08,80.46,8.12,4.0
Teacher,Technology,Australia,2026.0,25.22,29.52,77.36,62482.61,59170.05,-5.3,15.87,38.12,86.31,3.0
Customer Support Rep,Technology,Japan,2021.0,88.36,93.28,91.97,139347.12,163096.4,17.04,29.0,74.19,87.92,2.0
HR Manager,Technology,Australia,2020.0,39.55,32.62,85.69,31581.61,32072.11,1.55,0.11,86.44,12.66,4.0
Financial Analyst,Technology,Canada,2022.0,38.06,32.9,6.84,145562.16,148023.55,1.69,6.06,72.89,34.24,1.0
Teacher,Technology,UK,2025.0,72.19,81.93,48.45,40074.19,35597.9,-11.17,-13.97,96.42,56.55,5.0
Accountant,Technology,Germany,2020.0,16.35,16.22,90.02,107999.96,97947.02,-9.31,9.6,50.8,40.08,5.0
Customer Support Rep,Technology,Singapore,2023.0,77.75,80.85,8.58,75367.62,74563.15,-1.07,14.04,39.24,64.38,2.0
Marketing Specialist,Technology,Singapore,2021.0,27.69,24.31,97.74,118740.65,110250.13,-7.15,4.21,20.43,81.29,2.0
Software Engineer,Technology,Singapore,2022.0,25.57,21.85,92.49,116861.93,117626.7,0.65,-1.01,40.88,81.53,3.0
Data Analyst,Technology,Japan,2025.0,8.03,6.72,90.21,119416.75,107193.6,-10.24,19.6,75.18,40.45,2.0
Mechanical Engineer,Technology,Singapore,2023.0,50.43,49.01,19.34,127096.79,126683.51,-0.33,-12.86,44.3,57.06,3.0
Mechanical Engineer,Technology,Australia,2023.0,10.58,8.92,98.32,34575.38,35928.78,3.91,-12.55,26.59,23.21,1.0
HR Manager,Technology,Canada,2022.0,71.61,73.67,95.23,128275.67,151567.23,18.16,-6.82,20.96,55.13,5.0
Financial Analyst,Technology,UK,2021.0,38.64,32.11,11.08,55987.88,67787.65,21.08,22.68,64.56,58.38,3.0
HR Manager,Technology,India,2023.0,21.72,24.48,47.04,97953.35,94453.98,-3.57,1.83,66.82,25.55,2.0
Mechanical Engineer,Technology,UK,2021.0,56.0,60.19,75.97,70912.0,59150.67,-16.59,9.6,85.11,59.93,1.0
Data Analyst,Technology,UK,2022.0,49.69,43.37,22.91,75270.78,72200.16,-4.08,25.94,95.01,43.42,4.0
HR Manager,Technology,India,2021.0,21.5,22.44,57.57,121344.43,117490.04,-3.18,9.24,80.17,36.74,4.0
Marketing Specialist,Technology,India,2023.0,30.16,32.62,60.58,84801.65,71917.38,-15.19,-5.98,10.87,16.96,4.0
Software Engineer,Technology,Germany,2026.0,58.82,47.27,0.71,47556.85,47135.37,-0.89,15.75,98.46,88.73,5.0
Mechanical Engineer,Technology,UK,2025.0,72.31,61.56,47.52,149230.87,152789.99,2.38,-6.28,40.99,38.79,3.0
Marketing Specialist,Technology,Canada,2023.0,79.23,83.83,5.34,67680.27,69242.94,2.31,14.27,35.85,94.05,2.0
Customer Support Rep,Technology,UK,2024.0,58.88,64.05,47.71,74586.87,77977.92,4.55,8.87,16.47,27.9,4.0
HR Manager,Technology,USA,2022.0,54.36,50.29,83.59,34869.13,38020.75,9.04,10.27,68.18,19.2,2.0
Data Analyst,Technology,India,2020.0,54.18,63.03,14.94,46264.14,44767.03,-3.24,-3.69,54.05,46.16,2.0
Teacher,Technology,Japan,2025.0,71.92,84.35,50.48,32196.89,31880.69,-0.98,18.47,16.75,18.94,2.0
Truck Driver,Technology,Singapore,2025.0,59.31,51.31,89.41,131433.47,132231.99,0.61,1.42,31.99,53.31,5.0
Data Analyst,Technology,India,2023.0,44.32,36.92,68.83,41380.77,44132.71,6.65,-7.24,35.46,53.29,1.0
HR Manager,Technology,Brazil,2026.0,74.06,62.58,35.88,89336.55,77625.5,-13.11,14.75,93.18,90.35,3.0
Data Analyst,Technology,India,2026.0,55.95,47.32,7.83,89775.77,85582.54,-4.67,8.29,67.73,52.79,4.0
Accountant,Technology,UK,2024.0,27.15,25.24,49.96,49003.34,45438.76,-7.27,16.99,61.63,4.72,5.0
Teacher,Technology,Japan,2024.0,21.68,18.86,1.04,103599.37,113563.28,9.62,11.93,47.52,29.81,1.0
Data Analyst,Technology,Japan,2022.0,66.61,71.07,31.46,144548.8,150491.33,4.11,7.42,93.45,75.08,5.0
Teacher,Technology,Japan,2020.0,65.25,58.18,56.9,81369.66,89463.97,9.95,-1.81,75.81,64.61,1.0
Teacher,Technology,Canada,2026.0,29.34,24.42,42.44,36591.05,36718.86,0.35,5.15,69.29,27.54,1.0
Data Analyst,Technology,Brazil,2022.0,44.69,47.76,17.53,63925.36,66851.88,4.58,-10.26,16.82,51.83,4.0
Truck Driver,Technology,Japan,2024.0,40.02,34.28,84.24,116028.91,111777.45,-3.66,8.44,89.63,67.76,2.0
Marketing Specialist,Technology,Australia,2026.0,57.38,45.92,95.91,50938.49,52809.33,3.67,2.72,10.49,99.13,3.0
Accountant,Technology,Singapore,2024.0,30.58,25.81,66.78,63652.42,65787.99,3.36,15.98,87.3,56.67,4.0
Marketing Specialist,Technology,Canada,2022.0,64.02,58.75,50.31,32328.76,34683.45,7.28,28.28,77.98,72.9,2.0
Marketing Specialist,Technology,UK,2022.0,56.8,60.6,5.63,30432.56,29270.32,-3.82,8.05,65.34,61.2,2.0
Mechanical Engineer,Technology,Brazil,2022.0,33.03,28.9,4.61,148117.11,130006.19,-12.23,-1.16,54.26,29.16,2.0
HR Manager,Technology,USA,2022.0,15.73,14.95,23.75,82570.77,96278.65,16.6,-7.87,66.59,41.34,1.0
Marketing Specialist,Technology,Singapore,2021.0,71.77,64.22,13.69,99136.69,95956.41,-3.21,-14.04,83.8,52.07,4.0
Accountant,Technology,Canada,2020.0,14.7,13.75,8.17,94838.3,90315.86,-4.77,2.11,91.44,58.69,4.0
Truck Driver,Technology,Singapore,2025.0,89.99,84.74,88.64,124360.77,132587.75,6.62,2.05,70.28,16.21,1.0
Marketing Specialist,Technology,UK,2021.0,13.22,12.51,78.69,104185.75,102575.26,-1.55,5.08,49.2,15.77,2.0
Truck Driver,Technology,Singapore,2025.0,54.76,54.89,64.76,52985.34,49576.74,-6.43,-0.81,44.6,19.97,4.0
HR Manager,Technology,Singapore,2026.0,27.93,28.51,7.51,103786.55,105356.89,1.51,14.05,81.4,36.36,3.0
Mechanical Engineer,Technology,Singapore,2024.0,52.33,60.87,1.59,38164.48,34827.34,-8.74,18.26,98.79,21.64,2.0
Financial Analyst,Technology,Canada,2022.0,58.32,58.6,31.93,72836.0,77314.74,6.15,2.76,29.02,37.8,4.0
Teacher,Technology,Brazil,2021.0,70.93,70.4,57.43,45456.62,44208.11,-2.75,16.88,74.72,42.95,5.0
Mechanical Engineer,Technology,USA,2020.0,11.12,11.56,14.63,47089.37,46829.25,-0.55,-6.94,20.4,12.57,1.0
Mechanical Engineer,Technology,Brazil,2020.0,37.38,35.69,34.88,44968.38,51625.86,14.8,3.89,88.79,96.29,2.0
Financial Analyst,Technology,Canada,2022.0,64.97,68.17,49.75,134987.67,125463.95,-7.06,9.99,71.43,43.1,1.0
Financial Analyst,Technology,Germany,2020.0,49.84,43.54,43.36,121953.34,112760.82,-7.54,12.67,41.73,0.38,5.0
Mechanical Engineer,Technology,India,2025.0,50.66,47.13,77.81,86391.42,89777.88,3.92,7.31,42.6,98.94,3.0
Mechanical Engineer,Technology,UK,2022.0,74.02,84.55,52.87,111224.72,122043.12,9.73,18.81,24.47,69.28,2.0
Customer Support Rep,Technology,Brazil,2023.0,53.09,46.03,27.61,60256.74,59938.5,-0.53,-1.07,57.03,57.11,2.0
Software Engineer,Technology,Japan,2020.0,48.25,51.81,31.79,41266.57,39099.46,-5.25,-4.02,56.11,79.04,2.0
Data Analyst,Technology,UK,2025.0,67.97,64.13,2.04,104001.54,96081.23,-7.62,20.65,26.51,30.6,3.0
Accountant,Technology,Brazil,2023.0,25.65,25.68,31.91,55429.52,64122.15,15.68,-3.31,20.75,47.96,1.0
Software Engineer,Technology,USA,2024.0,5.0,4.8,75.72,128716.11,142628.46,10.81,6.46,21.33,96.41,5.0
Financial Analyst,Technology,UK,2024.0,14.63,13.53,56.69,140208.14,141939.96,1.24,-20.44,77.51,80.33,2.0
Truck Driver,Technology,Germany,2023.0,38.68,42.34,41.87,101355.3,104149.63,2.76,-3.23,43.62,33.42,4.0
Financial Analyst,Technology,Japan,2022.0,52.53,48.69,35.63,117780.88,140875.63,19.61,10.83,24.25,78.7,5.0
Software Engineer,Technology,UK,2022.0,66.22,67.5,58.19,38457.97,40950.88,6.48,21.43,14.54,19.84,3.0
Accountant,Technology,Singapore,2025.0,53.58,54.79,88.56,37610.35,38294.41,1.82,1.1,79.12,43.36,5.0
Financial Analyst,Technology,Singapore,2021.0,59.45,53.64,66.11,101883.94,106306.25,4.34,1.61,83.99,19.21,1.0
HR Manager,Technology,Singapore,2024.0,61.34,68.33,43.05,112798.18,97942.28,-13.17,8.1,78.39,92.8,4.0
Mechanical Engineer,Technology,UK,2024.0,12.29,12.77,90.31,68707.08,61148.09,-11.0,-3.16,55.5,23.79,3.0
Customer Support Rep,Technology,India,2023.0,35.81,34.07,34.53,103675.26,120204.94,15.94,17.88,40.59,14.69,2.0
Accountant,Technology,Canada,2022.0,11.53,12.96,44.41,131650.78,131526.26,-0.09,20.42,99.95,46.21,1.0
Marketing Specialist,Technology,Canada,2026.0,33.0,37.62,24.9,79103.98,84221.38,6.47,1.1,75.55,46.02,2.0
Data Analyst,Technology,Brazil,2022.0,68.47,80.57,62.24,147513.19,155735.86,5.57,-19.61,33.12,89.8,4.0
Teacher,Technology,India,2024.0,75.67,88.06,65.8,111902.77,115007.85,2.77,10.95,52.11,10.43,2.0
Truck Driver,Technology,Singapore,2021.0,70.41,62.42,66.94,55379.05,64829.61,17.07,14.46,72.4,90.93,4.0
Marketing Specialist,Technology,Singapore,2024.0,63.46,56.38,76.37,51543.84,46313.97,-10.15,4.76,57.51,82.07,2.0
HR Manager,Technology,Canada,2025.0,26.98,24.2,79.17,91257.85,101067.72,10.75,1.4,36.77,39.22,3.0
Mechanical Engineer,Technology,Singapore,2021.0,54.11,47.7,55.4,95590.19,91313.02,-4.47,4.88,86.02,0.06,5.0
Data Analyst,Technology,Brazil,2023.0,29.94,31.75,70.45,137165.96,157395.57,14.75,21.63,37.34,18.41,2.0
Truck Driver,Technology,Japan,2025.0,68.51,66.79,50.75,149190.69,142829.45,-4.26,-5.31,89.48,42.36,3.0
Marketing Specialist,Technology,Germany,2025.0,45.87,47.63,41.82,77257.02,79002.29,2.26,6.01,89.0,11.86,3.0
Mechanical Engineer,Technology,UK,2024.0,55.66,44.69,63.31,85722.43,108170.81,26.19,2.36,76.84,72.95,3.0
Teacher,Technology,India,2024.0,14.47,11.75,90.06,34647.35,29380.37,-15.2,13.67,71.89,28.47,3.0
Accountant,Technology,Brazil,2025.0,79.07,71.04,44.04,136042.65,125382.96,-7.84,-2.28,67.88,70.55,2.0
Marketing Specialist,Technology,Japan,2025.0,11.57,13.35,88.45,85316.53,77715.24,-8.91,10.55,55.34,43.89,5.0
Accountant,Technology,USA,2020.0,27.88,23.29,13.75,88358.41,97682.33,10.55,11.4,34.91,66.82,3.0
Truck Driver,Technology,Brazil,2022.0,87.89,92.2,72.78,71146.5,71183.76,0.05,13.39,71.11,95.22,1.0
Truck Driver,Technology,Canada,2023.0,54.17,50.13,71.35,84613.06,84834.16,0.26,2.86,98.4,27.24,3.0
Software Engineer,Technology,Canada,2024.0,18.25,19.23,61.65,39623.07,39290.69,-0.84,13.73,27.56,30.74,2.0
Teacher,Technology,Japan,2022.0,21.68,24.93,24.06,119338.65,125396.66,5.08,-5.2,90.61,0.97,4.0
Data Analyst,Technology,Singapore,2020.0,31.64,33.26,70.82,124592.72,149253.3,19.79,12.05,83.01,71.98,4.0
Financial Analyst,Technology,Singapore,2024.0,10.86,12.8,58.33,76896.0,75904.64,-1.29,0.73,10.32,32.43,2.0
