JOB TITLE,INDUSTRY,JOB STATUS,AI IMPACT LEVEL,MEDIAN SALARY (USD),REQUIRED EDUCATION,EXPERIENCE REQUIRED (YEARS),JOB OPENINGS (2024),PROJECTED OPENINGS (2030),REMOTE WORK RATIO (%),AUTOMATION RISK (%),LOCATION,GENDER DIVERSITY (%),OPENING GROWTH (%)
Production manager,Manufacturing,Decreasing,Low,87200.88,Bachelor's Degree,8.0,5779.0,3698.0,13.89,49.28,India,67.54,-36.01
Interpreter,Manufacturing,Decreasing,High,126127.87,PhD,12.0,2024.0,7943.0,20.57,56.18,Germany,37.2,292.44
Microbiologist,Manufacturing,Decreasing,Moderate,76159.21,High School,9.0,5138.0,8465.0,88.76,70.89,Canada,45.74,64.75
Recycling officer,Manufacturing,Decreasing,High,40791.86,Master's Degree,15.0,8780.0,320.0,49.81,61.08,Germany,43.83,-96.36
Freight forwarder,Manufacturing,Increasing,High,37626.52,PhD,0.0,4451.0,4438.0,42.74,67.49,China,40.99,-0.29
Cartographer,Manufacturing,Decreasing,High,68502.45,PhD,8.0,9124.0,702.0,80.39,30.19,Brazil,32.02,-92.31
"Merchandiser, retail",Manufacturing,Decreasing,High,101382.04,Master's Degree,13.0,1834.0,877.0,1.12,61.35,China,47.48,-52.18
"Embryologist, clinical",Manufacturing,Decreasing,Moderate,86668.35,Associate Degree,6.0,7761.0,8010.0,47.71,18.44,Canada,79.3,3.21
"Administrator, local government",Manufacturing,Decreasing,Low,139053.33,Bachelor's Degree,16.0,4659.0,3457.0,19.49,31.46,Germany,26.2,-25.8
Lexicographer,Manufacturing,Decreasing,Low,57370.58,High School,4.0,3126.0,5754.0,54.27,47.34,China,65.03,84.07
Armed forces operational officer,Manufacturing,Decreasing,Low,76031.47,PhD,17.0,3599.0,601.0,21.59,67.97,Australia,71.63,-83.3
Software engineer,Manufacturing,Increasing,Low,139263.87,PhD,0.0,9520.0,6842.0,83.93,44.39,China,21.03,-28.13
Insurance underwriter,Manufacturing,Decreasing,Moderate,97251.91,Bachelor's Degree,16.0,2674.0,9553.0,9.52,84.28,UK,29.08,257.26
"Surveyor, planning and development",Manufacturing,Decreasing,High,138226.85,Associate Degree,19.0,8011.0,3803.0,49.17,14.86,India,50.18,-52.53
"Education officer, museum",Manufacturing,Decreasing,High,35499.87,Bachelor's Degree,8.0,7436.0,4207.0,79.26,44.8,Germany,42.1,-43.42
"Designer, furniture",Manufacturing,Increasing,Moderate,57579.95,PhD,2.0,5795.0,302.0,52.88,19.21,Australia,40.74,-94.79
Pensions consultant,Manufacturing,Increasing,High,63052.65,PhD,10.0,3564.0,2127.0,90.44,8.59,Brazil,26.09,-40.32
Administrator,Manufacturing,Increasing,Moderate,31813.38,Associate Degree,12.0,3734.0,8722.0,33.6,83.37,Brazil,57.07,133.58
"Surveyor, land/geomatics",Manufacturing,Decreasing,Low,114966.4,High School,19.0,3004.0,8344.0,64.82,89.74,Australia,23.05,177.76
Special educational needs teacher,Manufacturing,Decreasing,Low,99410.34,Associate Degree,13.0,367.0,2104.0,3.41,41.87,Germany,40.12,473.3
Lexicographer,Manufacturing,Decreasing,High,101574.49,Bachelor's Degree,17.0,901.0,6295.0,90.31,18.85,Canada,66.54,598.67
"Engineer, technical sales",Manufacturing,Decreasing,Moderate,64382.72,PhD,6.0,4067.0,9654.0,43.31,56.67,Germany,25.74,137.37
Tour manager,Manufacturing,Decreasing,Moderate,84213.73,High School,3.0,7807.0,7626.0,62.76,86.92,India,24.54,-2.32
Magazine features editor,Manufacturing,Decreasing,High,67340.33,Bachelor's Degree,17.0,3400.0,6966.0,26.12,43.93,Brazil,74.48,104.88
Product manager,Manufacturing,Decreasing,High,40389.96,Bachelor's Degree,11.0,6586.0,8488.0,49.3,20.93,Canada,21.25,28.88
Bookseller,Manufacturing,Decreasing,Moderate,70759.25,High School,18.0,3494.0,637.0,78.3,26.96,Brazil,36.77,-81.77
Electronics engineer,Manufacturing,Increasing,Low,105456.89,Master's Degree,18.0,3903.0,4778.0,88.19,81.25,USA,73.6,22.42
Telecommunications researcher,Manufacturing,Increasing,Moderate,72955.85,Master's Degree,11.0,4119.0,209.0,0.07,40.54,China,43.09,-94.93
Chief Executive Officer,Manufacturing,Decreasing,Moderate,34438.03,Bachelor's Degree,18.0,2504.0,4637.0,6.5,54.27,Canada,55.07,85.18
"Designer, exhibition/display",Manufacturing,Decreasing,Low,37292.7,Associate Degree,5.0,1388.0,6195.0,0.81,43.82,USA,64.22,346.33
Wellsite geologist,Manufacturing,Decreasing,Moderate,67156.49,High School,2.0,4019.0,121.0,4.69,14.54,Brazil,26.09,-96.99
Sports coach,Manufacturing,Decreasing,Low,139561.32,Bachelor's Degree,8.0,4511.0,9072.0,93.75,21.97,USA,54.38,101.11
"Therapist, speech and language",Manufacturing,Increasing,High,31010.2,Bachelor's Degree,5.0,2952.0,3686.0,1.1,81.06,China,27.8,24.86
Waste management officer,Manufacturing,Increasing,Moderate,61264.41,PhD,19.0,1365.0,5862.0,77.59,53.0,USA,37.33,329.45
Insurance risk surveyor,Manufacturing,Decreasing,Low,147468.07,Associate Degree,12.0,2810.0,3708.0,63.1,34.61,Germany,42.56,31.96
Professor Emeritus,Manufacturing,Increasing,Low,146678.26,Bachelor's Degree,8.0,927.0,8307.0,41.24,96.2,Brazil,29.19,796.12
Pathologist,Manufacturing,Increasing,Low,121008.37,Bachelor's Degree,1.0,7462.0,8306.0,60.57,34.7,Brazil,70.52,11.31
IT consultant,Manufacturing,Decreasing,High,110925.71,Associate Degree,17.0,6494.0,6944.0,58.97,11.34,China,50.43,6.93
"Engineer, technical sales",Manufacturing,Increasing,Low,39256.38,High School,5.0,5604.0,798.0,20.16,68.79,USA,52.7,-85.76
Textile designer,Manufacturing,Decreasing,Moderate,96812.7,Associate Degree,16.0,7610.0,831.0,52.65,57.26,UK,79.86,-89.08
Charity officer,Manufacturing,Decreasing,Moderate,122225.23,Associate Degree,6.0,7516.0,8620.0,59.67,1.28,Australia,51.92,14.69
"Engineer, energy",Manufacturing,Decreasing,High,40257.88,Associate Degree,1.0,1121.0,3748.0,81.67,11.32,Canada,62.06,234.34
Theme park manager,Manufacturing,Decreasing,High,125688.09,PhD,17.0,9994.0,2796.0,17.52,78.96,Canada,50.76,-72.02
"Clinical scientist, histocompatibility and immunogenetics",Manufacturing,Decreasing,Moderate,91713.21,High School,20.0,899.0,1895.0,99.23,44.57,USA,70.47,110.79
Sports development officer,Manufacturing,Decreasing,High,124492.13,Bachelor's Degree,4.0,5400.0,1014.0,3.98,9.65,Brazil,58.86,-81.22
"Administrator, sports",Manufacturing,Decreasing,High,64531.78,Associate Degree,0.0,6374.0,4125.0,44.23,60.45,Canada,61.84,-35.28
"Horticulturist, commercial",Manufacturing,Decreasing,High,87926.35,Bachelor's Degree,9.0,5023.0,9685.0,19.15,59.8,USA,74.77,92.81
"Geologist, engineering",Manufacturing,Increasing,Low,88674.26,Associate Degree,5.0,3273.0,8456.0,61.66,25.34,USA,64.72,158.36
Early years teacher,Manufacturing,Decreasing,Moderate,140348.09,Master's Degree,9.0,6586.0,4357.0,5.42,71.84,Brazil,44.57,-33.84
Psychiatrist,Manufacturing,Increasing,Low,132148.55,Bachelor's Degree,9.0,9289.0,295.0,16.41,68.2,Brazil,35.48,-96.82
Dispensing optician,Manufacturing,Decreasing,Low,113375.2,PhD,11.0,1586.0,401.0,77.8,19.67,India,24.36,-74.72
Structural engineer,Manufacturing,Decreasing,Moderate,108781.72,PhD,13.0,5544.0,703.0,56.36,91.12,Canada,71.96,-87.32
Insurance risk surveyor,Manufacturing,Increasing,High,71535.11,Bachelor's Degree,8.0,3762.0,1427.0,14.09,39.89,Germany,47.89,-62.07
"Editor, film/video",Manufacturing,Increasing,High,85600.34,Bachelor's Degree,20.0,1435.0,2628.0,79.2,69.56,India,58.18,83.14
"Engineer, agricultural",Manufacturing,Increasing,Low,89170.01,Associate Degree,6.0,6174.0,2085.0,10.77,38.53,India,77.66,-66.23
"Pilot, airline",Manufacturing,Decreasing,Low,115618.78,Associate Degree,8.0,4577.0,1303.0,80.58,85.29,China,65.65,-71.53
Medical illustrator,Manufacturing,Increasing,High,87750.08,Master's Degree,19.0,2767.0,5120.0,82.82,78.81,Australia,68.55,85.04
"Loss adjuster, chartered",Manufacturing,Increasing,High,60424.73,Bachelor's Degree,14.0,6588.0,7587.0,36.73,0.89,Canada,64.72,15.16
Web designer,Manufacturing,Increasing,High,120774.44,Associate Degree,1.0,8699.0,5850.0,85.79,60.57,Australia,22.37,-32.75
"Surveyor, mining",Manufacturing,Decreasing,Low,133468.27,High School,6.0,4798.0,2009.0,98.68,52.45,China,45.26,-58.13
Contractor,Manufacturing,Increasing,High,62942.13,Associate Degree,10.0,6350.0,9720.0,71.02,64.05,Brazil,26.08,53.07
International aid/development worker,Manufacturing,Decreasing,High,41771.23,Master's Degree,12.0,8847.0,3689.0,52.77,35.1,Brazil,58.21,-58.3
Manufacturing systems engineer,Manufacturing,Increasing,Moderate,103661.88,PhD,3.0,8645.0,2311.0,17.76,21.83,Canada,28.82,-73.27
Retail manager,Manufacturing,Decreasing,Moderate,30003.41,High School,14.0,8051.0,2309.0,3.41,67.85,UK,46.89,-71.32
"Surveyor, commercial/residential",Manufacturing,Decreasing,Moderate,62956.0,Bachelor's Degree,2.0,1718.0,5080.0,69.92,28.82,USA,46.55,195.69
"Editor, magazine features",Manufacturing,Decreasing,Moderate,100323.69,Associate Degree,11.0,261.0,1402.0,71.37,38.52,UK,36.82,437.16
Paramedic,Manufacturing,Increasing,Low,91093.61,PhD,5.0,7660.0,3838.0,97.14,0.9,Canada,54.61,-49.9
"Engineer, land",Manufacturing,Decreasing,High,75602.72,PhD,14.0,7194.0,5579.0,11.37,74.7,USA,69.15,-22.45
Geochemist,Manufacturing,Decreasing,Moderate,32202.86,Bachelor's Degree,3.0,7539.0,8880.0,12.72,70.07,India,21.45,17.79
Charity officer,Manufacturing,Decreasing,Low,149962.12,PhD,6.0,1263.0,9381.0,85.45,23.24,USA,70.75,642.76
"Designer, furniture",Manufacturing,Decreasing,Low,85731.98,Master's Degree,6.0,928.0,8711.0,90.16,37.27,Germany,78.49,838.69
Amenity horticulturist,Manufacturing,Decreasing,Moderate,111219.15,Master's Degree,1.0,9946.0,7679.0,30.31,51.96,India,41.02,-22.79
Press photographer,Manufacturing,Increasing,Moderate,93798.23,PhD,13.0,912.0,4190.0,25.16,17.36,Brazil,60.06,359.43
Print production planner,Manufacturing,Increasing,Moderate,35249.38,High School,19.0,3407.0,9150.0,78.77,24.45,India,20.84,168.56
Osteopath,Manufacturing,Increasing,Low,46045.2,Bachelor's Degree,12.0,9460.0,175.0,39.52,55.17,USA,63.98,-98.15
Farm manager,Manufacturing,Decreasing,Low,31426.7,Associate Degree,3.0,4652.0,1951.0,0.89,16.32,China,66.27,-58.06
Jewellery designer,Manufacturing,Decreasing,Moderate,129803.52,Associate Degree,4.0,6918.0,9118.0,5.74,16.25,Canada,41.99,31.8
Research scientist (life sciences),Manufacturing,Increasing,Moderate,92403.47,PhD,4.0,3895.0,1165.0,45.88,1.59,India,69.67,-70.09
"Surveyor, planning and development",Manufacturing,Increasing,High,89336.22,PhD,19.0,2730.0,4092.0,85.98,11.87,Brazil,22.21,49.89
Pharmacologist,Manufacturing,Decreasing,High,107995.3,High School,5.0,5721.0,7239.0,65.26,61.45,India,58.44,26.53
Armed forces technical officer,Manufacturing,Decreasing,High,93041.28,Associate Degree,14.0,2944.0,4182.0,22.96,32.39,China,46.4,42.05
Clinical research associate,Manufacturing,Increasing,Moderate,115301.96,PhD,0.0,6323.0,9005.0,44.25,81.67,Brazil,54.77,42.42
"Teacher, secondary school",Manufacturing,Increasing,Moderate,49424.42,PhD,5.0,7698.0,3781.0,23.19,79.06,Germany,34.62,-50.88
Database administrator,Manufacturing,Decreasing,Low,126979.01,Associate Degree,3.0,3251.0,9612.0,20.06,68.14,India,37.48,195.66
Futures trader,Manufacturing,Increasing,High,105143.12,PhD,7.0,1116.0,6077.0,39.06,39.2,Germany,79.65,444.53
"Presenter, broadcasting",Manufacturing,Decreasing,Moderate,50254.72,High School,11.0,131.0,639.0,33.7,4.76,Germany,26.49,387.79
Analytical chemist,Manufacturing,Decreasing,High,135113.4,Master's Degree,18.0,173.0,615.0,38.12,15.57,Germany,52.29,255.49
Marine scientist,Manufacturing,Increasing,Low,136728.93,Bachelor's Degree,19.0,5299.0,8679.0,99.41,32.55,Germany,49.26,63.79
Wellsite geologist,Manufacturing,Decreasing,Moderate,123979.76,Master's Degree,8.0,1466.0,5811.0,29.23,81.25,UK,58.11,296.38
Call centre manager,Manufacturing,Increasing,High,41324.08,Bachelor's Degree,15.0,9885.0,7165.0,75.57,97.41,Germany,78.04,-27.52
Health and safety inspector,Manufacturing,Decreasing,Moderate,71042.73,Associate Degree,13.0,6799.0,2189.0,64.43,26.44,China,22.61,-67.8
Hydrologist,Manufacturing,Increasing,Moderate,93405.21,Master's Degree,6.0,6083.0,3169.0,49.93,1.59,UK,29.61,-47.9
Furniture designer,Manufacturing,Decreasing,Moderate,106271.4,High School,11.0,2554.0,7298.0,76.99,21.95,Australia,31.07,185.75
Hotel manager,Manufacturing,Decreasing,Moderate,103975.77,PhD,14.0,9699.0,4219.0,44.7,17.54,Australia,32.71,-56.5
Market researcher,Manufacturing,Decreasing,Moderate,67285.4,PhD,18.0,1206.0,4060.0,70.22,66.32,UK,23.92,236.65
Community education officer,Manufacturing,Increasing,High,105580.08,Bachelor's Degree,20.0,8933.0,2781.0,6.94,35.72,Brazil,67.23,-68.87
Cartographer,Manufacturing,Increasing,High,99167.99,High School,14.0,4781.0,9300.0,32.42,36.81,Australia,57.21,94.52
Neurosurgeon,Manufacturing,Decreasing,Moderate,40382.48,High School,7.0,3271.0,7021.0,80.68,92.64,USA,67.99,114.64
Web designer,Manufacturing,Increasing,Low,98473.43,Master's Degree,11.0,4732.0,9288.0,19.94,23.53,Brazil,60.62,96.28
"Runner, broadcasting/film/video",Manufacturing,Decreasing,High,104160.64,PhD,18.0,6350.0,4665.0,49.19,32.28,Brazil,23.8,-26.54
"Engineer, site",Manufacturing,Decreasing,Moderate,111246.0,Master's Degree,17.0,3605.0,7514.0,82.68,15.78,Canada,22.03,108.43
"Producer, television/film/video",Manufacturing,Decreasing,High,126967.86,Associate Degree,20.0,7562.0,3821.0,99.15,13.73,Australia,62.89,-49.47
Emergency planning/management officer,Manufacturing,Increasing,Moderate,96305.6,Master's Degree,15.0,2919.0,5541.0,55.44,48.79,Australia,37.41,89.83
Scientific laboratory technician,Manufacturing,Decreasing,Moderate,145611.95,Associate Degree,15.0,1545.0,1362.0,56.62,24.56,USA,40.7,-11.84
Quantity surveyor,Manufacturing,Decreasing,Low,75058.23,Bachelor's Degree,9.0,8490.0,9676.0,97.95,71.69,China,29.88,13.97
Magazine features editor,Manufacturing,Decreasing,High,146589.58,Bachelor's Degree,19.0,9011.0,5941.0,48.77,63.97,Germany,49.44,-34.07
Recruitment consultant,Manufacturing,Decreasing,Moderate,91237.88,PhD,6.0,6186.0,3730.0,81.6,96.42,UK,59.17,-39.7
Holiday representative,Manufacturing,Increasing,Moderate,60422.37,Bachelor's Degree,8.0,9802.0,1571.0,27.94,62.27,USA,34.21,-83.97
Art gallery manager,Manufacturing,Decreasing,Moderate,95331.02,Master's Degree,16.0,3055.0,264.0,86.43,26.54,India,71.0,-91.36
Naval architect,Manufacturing,Decreasing,High,115631.83,Associate Degree,6.0,5274.0,1902.0,72.24,20.23,USA,75.5,-63.94
Product manager,Manufacturing,Decreasing,Low,68358.6,High School,6.0,4617.0,6593.0,9.86,72.35,Brazil,32.33,42.8
Lawyer,Manufacturing,Increasing,High,135078.09,Master's Degree,0.0,3815.0,7005.0,99.61,15.36,Australia,68.77,83.62
Advice worker,Manufacturing,Decreasing,High,86092.99,Master's Degree,10.0,7582.0,2505.0,17.6,9.11,Brazil,62.94,-66.96
"Administrator, Civil Service",Manufacturing,Decreasing,Moderate,104070.34,Associate Degree,0.0,8214.0,7730.0,5.05,43.11,Canada,50.39,-5.89
Glass blower/designer,Manufacturing,Decreasing,Moderate,44168.5,Associate Degree,4.0,8641.0,7046.0,74.96,22.23,Canada,61.79,-18.46
Theatre stage manager,Manufacturing,Increasing,Moderate,80978.3,PhD,1.0,5795.0,5512.0,59.37,82.65,Brazil,70.78,-4.88
Primary school teacher,Manufacturing,Decreasing,High,34776.0,Associate Degree,18.0,6848.0,5499.0,70.71,89.96,UK,37.6,-19.7
Newspaper journalist,Manufacturing,Decreasing,Moderate,143656.61,Bachelor's Degree,6.0,7799.0,5718.0,6.91,42.86,Brazil,27.28,-26.68
"Physicist, medical",Manufacturing,Decreasing,Moderate,133472.93,Bachelor's Degree,2.0,7557.0,984.0,52.15,89.34,Canada,63.85,-86.98
Warden/ranger,Manufacturing,Decreasing,Low,116927.07,Master's Degree,18.0,8377.0,506.0,18.2,58.4,Canada,61.67,-93.96
"Psychotherapist, child",Manufacturing,Increasing,High,39125.51,Bachelor's Degree,8.0,2392.0,6820.0,21.33,71.21,India,34.39,185.12
Public relations account executive,Manufacturing,Increasing,Low,134294.67,Associate Degree,0.0,751.0,2772.0,37.01,77.14,China,60.38,269.11
Estate agent,Manufacturing,Decreasing,High,64722.64,Associate Degree,16.0,6509.0,1428.0,27.79,30.33,China,66.08,-78.06
Senior tax professional/tax inspector,Manufacturing,Decreasing,Moderate,83013.53,Master's Degree,17.0,9886.0,2331.0,88.67,80.94,USA,60.46,-76.42
"Radiographer, diagnostic",Manufacturing,Increasing,Moderate,109363.8,High School,15.0,716.0,1421.0,63.31,83.37,USA,45.45,98.46
Lobbyist,Manufacturing,Increasing,Low,45700.39,Master's Degree,4.0,6879.0,2091.0,95.83,70.06,China,26.57,-69.6
Bonds trader,Manufacturing,Decreasing,Moderate,72480.77,High School,12.0,2182.0,5662.0,24.92,24.49,China,39.33,159.49
Contracting civil engineer,Manufacturing,Decreasing,Moderate,64996.2,High School,6.0,9521.0,1437.0,22.13,97.02,Brazil,71.19,-84.91
Herpetologist,Manufacturing,Decreasing,Low,137364.07,High School,20.0,635.0,7067.0,91.03,2.21,UK,48.31,1012.91
Chief Marketing Officer,Manufacturing,Decreasing,High,75270.34,High School,6.0,8338.0,8351.0,67.74,62.76,Germany,59.32,0.16
"Development worker, community",Manufacturing,Increasing,High,81316.47,High School,10.0,9782.0,7088.0,77.74,74.5,Canada,33.98,-27.54
"Development worker, international aid",Manufacturing,Increasing,Moderate,37595.37,High School,7.0,6676.0,1131.0,68.91,96.93,Australia,27.77,-83.06
"Accountant, chartered",Manufacturing,Decreasing,High,30219.77,Bachelor's Degree,11.0,890.0,9095.0,16.02,98.88,UK,79.85,921.91
"Education officer, environmental",Manufacturing,Increasing,Moderate,145634.49,PhD,13.0,9788.0,4321.0,19.81,32.11,China,27.2,-55.85
Operational investment banker,Manufacturing,Decreasing,Low,57628.24,Master's Degree,7.0,9152.0,1028.0,20.35,19.64,Brazil,39.67,-88.77
Public house manager,Manufacturing,Decreasing,Low,98934.31,Associate Degree,9.0,7352.0,1915.0,33.09,95.72,Australia,37.99,-73.95
Aid worker,Manufacturing,Decreasing,High,148451.82,Master's Degree,9.0,2463.0,3031.0,45.0,31.2,Germany,23.15,23.06
Scientific laboratory technician,Manufacturing,Increasing,Moderate,72130.35,Bachelor's Degree,5.0,7972.0,4409.0,34.79,88.53,China,69.69,-44.69
"Engineer, manufacturing",Manufacturing,Decreasing,Low,92751.64,High School,3.0,7543.0,4017.0,34.18,90.24,Germany,70.29,-46.75
Community pharmacist,Manufacturing,Decreasing,High,64056.53,Associate Degree,6.0,8116.0,9749.0,35.3,69.11,Germany,45.17,20.12
Fashion designer,Manufacturing,Decreasing,Low,134942.37,Associate Degree,2.0,2105.0,3531.0,0.86,71.16,Canada,48.98,67.74
Arts development officer,Manufacturing,Decreasing,High,109000.64,Master's Degree,5.0,8816.0,1126.0,82.38,2.25,Australia,45.29,-87.23
Forensic scientist,Manufacturing,Decreasing,High,130369.44,Master's Degree,15.0,6279.0,2159.0,33.64,93.71,India,70.16,-65.62
Glass blower/designer,Manufacturing,Decreasing,Low,35875.61,PhD,9.0,9729.0,3843.0,20.47,50.94,Australia,31.2,-60.5
Insurance broker,Manufacturing,Increasing,High,64246.27,Bachelor's Degree,20.0,5742.0,3532.0,57.49,66.83,Brazil,21.87,-38.49
"Copywriter, advertising",Manufacturing,Decreasing,Low,40338.37,PhD,6.0,573.0,7050.0,66.86,65.89,USA,62.87,1130.37
"Designer, furniture",Manufacturing,Increasing,Low,54437.71,Bachelor's Degree,18.0,7517.0,9087.0,75.47,1.78,Australia,41.91,20.89
Information officer,Manufacturing,Decreasing,Moderate,72001.87,Master's Degree,2.0,8246.0,736.0,65.18,14.33,Australia,76.59,-91.07
Structural engineer,Manufacturing,Increasing,Moderate,134807.2,Master's Degree,2.0,2965.0,8214.0,42.3,6.12,Germany,68.46,177.03
Dispensing optician,Manufacturing,Decreasing,High,83726.28,PhD,2.0,1015.0,6448.0,33.4,87.54,USA,65.78,535.27
Electrical engineer,Manufacturing,Decreasing,Low,83074.87,High School,18.0,295.0,8192.0,1.06,97.6,Australia,69.06,2676.95
Garment/textile technologist,Manufacturing,Decreasing,Low,89493.0,PhD,2.0,3178.0,2206.0,77.1,43.45,China,43.64,-30.59
Hydrologist,Manufacturing,Increasing,High,100097.03,High School,8.0,8004.0,5124.0,82.7,89.8,India,38.69,-35.98
Further education lecturer,Manufacturing,Decreasing,Moderate,105842.36,Associate Degree,18.0,2876.0,4771.0,44.87,99.56,UK,41.04,65.89
General practice doctor,Manufacturing,Increasing,High,89797.34,Master's Degree,20.0,9587.0,3864.0,95.09,93.02,Brazil,38.84,-59.7
IT trainer,Manufacturing,Increasing,Moderate,145150.18,Associate Degree,16.0,5303.0,7965.0,9.99,44.64,Canada,28.2,50.2
Warehouse manager,Manufacturing,Decreasing,Moderate,52177.02,PhD,5.0,881.0,3690.0,90.28,24.18,Australia,54.29,318.84
Site engineer,Manufacturing,Decreasing,Moderate,47475.67,High School,12.0,2504.0,9239.0,29.01,59.7,China,67.49,268.97
Dealer,Manufacturing,Decreasing,High,101221.0,High School,1.0,6280.0,3191.0,88.95,53.13,Brazil,31.72,-49.19
"Engineer, site",Manufacturing,Increasing,Moderate,88391.93,Bachelor's Degree,20.0,2571.0,4542.0,56.75,60.9,Australia,41.63,76.66
Energy manager,Manufacturing,Increasing,Moderate,119139.78,Bachelor's Degree,3.0,9321.0,2706.0,4.23,47.63,Australia,53.06,-70.97
Transport planner,Manufacturing,Increasing,High,126058.5,High School,1.0,717.0,1207.0,33.14,77.99,USA,56.85,68.34
Aid worker,Manufacturing,Increasing,Moderate,78163.41,Bachelor's Degree,18.0,8194.0,1643.0,14.0,6.66,Canada,36.1,-79.95
Conference centre manager,Manufacturing,Decreasing,Moderate,136778.81,PhD,11.0,8470.0,955.0,12.54,88.48,USA,20.56,-88.72
Field trials officer,Manufacturing,Increasing,High,132079.52,PhD,8.0,8624.0,6664.0,23.57,68.14,India,37.03,-22.73
Production manager,Manufacturing,Decreasing,Low,49494.45,PhD,16.0,2298.0,6609.0,89.45,55.29,Canada,56.77,187.6
"Administrator, charities/voluntary organisations",Manufacturing,Increasing,Low,37334.77,PhD,0.0,5552.0,4953.0,91.83,27.59,Germany,31.06,-10.79
Personnel officer,Manufacturing,Increasing,High,43907.85,PhD,3.0,9154.0,7991.0,27.13,37.48,China,69.69,-12.7
Hydrologist,Manufacturing,Increasing,Moderate,100585.73,Associate Degree,20.0,5205.0,9681.0,8.95,57.18,China,39.41,85.99
"Engineer, land",Manufacturing,Increasing,High,105455.32,Master's Degree,13.0,7231.0,3549.0,85.58,75.2,China,74.38,-50.92
"Scientist, biomedical",Manufacturing,Increasing,Low,135601.96,Bachelor's Degree,8.0,2165.0,4385.0,18.08,10.26,Brazil,37.15,102.54
Printmaker,Manufacturing,Increasing,Moderate,90092.55,Bachelor's Degree,9.0,5478.0,4315.0,71.23,83.18,Australia,75.81,-21.23
Agricultural engineer,Manufacturing,Increasing,High,101483.49,Bachelor's Degree,10.0,5223.0,3416.0,89.95,62.22,Germany,24.99,-34.6
"Engineer, biomedical",Manufacturing,Increasing,High,89261.62,Associate Degree,7.0,1153.0,4088.0,38.02,29.1,Brazil,70.47,254.55
"Administrator, local government",Manufacturing,Decreasing,High,48967.81,Bachelor's Degree,6.0,1879.0,1009.0,73.42,30.78,UK,69.03,-46.3
Further education lecturer,Manufacturing,Increasing,Moderate,104107.17,Bachelor's Degree,6.0,6143.0,4270.0,72.38,27.63,China,59.31,-30.49
Editorial assistant,Manufacturing,Decreasing,Moderate,84490.22,Master's Degree,8.0,1704.0,2377.0,19.33,67.47,Canada,54.21,39.5
Social researcher,Manufacturing,Increasing,High,75415.5,PhD,10.0,9888.0,2710.0,70.11,66.75,Brazil,58.77,-72.59
"Research officer, political party",Manufacturing,Decreasing,Low,30778.27,Master's Degree,17.0,8498.0,2504.0,17.07,37.9,Germany,43.69,-70.53
Sub,Manufacturing,Increasing,Moderate,61692.39,High School,4.0,4726.0,6900.0,17.02,47.95,UK,33.63,46.0
Translator,Manufacturing,Decreasing,Low,47846.28,Master's Degree,19.0,7311.0,8047.0,13.7,90.69,USA,75.85,10.07
Data processing manager,Manufacturing,Increasing,High,64819.38,PhD,2.0,9996.0,3140.0,67.11,42.08,Germany,25.71,-68.59
"Scientist, research (life sciences)",Manufacturing,Decreasing,Moderate,111745.04,Associate Degree,11.0,395.0,7217.0,86.44,66.04,UK,29.62,1727.09
Trading standards officer,Manufacturing,Increasing,Low,96023.86,Master's Degree,13.0,1708.0,8264.0,46.82,75.81,Australia,28.5,383.84
Commercial/residential surveyor,Manufacturing,Increasing,Moderate,40960.82,Bachelor's Degree,20.0,3945.0,9435.0,27.1,88.01,Brazil,53.22,139.16
Chartered public finance accountant,Manufacturing,Decreasing,Moderate,126964.64,Bachelor's Degree,8.0,4827.0,5308.0,3.41,95.73,Germany,32.87,9.96
"Editor, film/video",Manufacturing,Increasing,Moderate,33835.23,Master's Degree,17.0,6925.0,2454.0,8.5,22.29,Australia,33.77,-64.56
"Surveyor, insurance",Manufacturing,Decreasing,Moderate,90352.28,PhD,13.0,2480.0,2632.0,93.23,97.96,Germany,67.19,6.13
Sub,Manufacturing,Decreasing,High,65419.12,Master's Degree,0.0,6802.0,8991.0,96.67,5.64,China,65.53,32.18
Psychiatrist,Manufacturing,Increasing,Moderate,117803.24,High School,12.0,4823.0,4982.0,97.2,6.82,Germany,67.67,3.3
"Geneticist, molecular",Manufacturing,Decreasing,Moderate,103485.02,PhD,1.0,4368.0,4488.0,7.28,37.01,USA,20.72,2.75
Textile designer,Manufacturing,Increasing,Moderate,51525.49,Associate Degree,1.0,2643.0,7718.0,6.96,41.94,Australia,31.75,192.02
Estate manager/land agent,Manufacturing,Increasing,Low,33392.41,High School,5.0,6670.0,2175.0,68.98,80.95,USA,62.02,-67.39
Comptroller,Manufacturing,Increasing,High,141629.89,Bachelor's Degree,10.0,4979.0,292.0,73.98,25.25,Germany,50.21,-94.14
"Psychologist, occupational",Manufacturing,Increasing,High,95358.77,PhD,16.0,5827.0,6768.0,86.39,74.09,Germany,78.92,16.15
Architect,Manufacturing,Increasing,High,93796.92,Associate Degree,2.0,2559.0,3389.0,99.29,79.38,Canada,20.84,32.43
Financial controller,Manufacturing,Increasing,High,73363.6,Bachelor's Degree,6.0,3012.0,6014.0,93.26,87.66,India,66.51,99.67
"Production designer, theatre/television/film",Manufacturing,Increasing,Low,91467.07,Master's Degree,8.0,1681.0,5367.0,36.5,34.82,Germany,32.36,219.27
